epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.3002,0.3892,1.2234,0.4030,0.001000,4.2
2,1.0476,0.6010,0.9457,0.7463,0.000999,3.9
3,0.9023,0.6552,0.8313,0.8060,0.000996,4.3
